Rank,Permutation,RawDV_mps,DV_WithMargin_mps
1,1 2 3 4 5,560.44102486255,672.529229835059
2,2 1 3 4 5,565.841024862541,679.009229835049
3,1 2 4 3 5,566.340990949653,679.609189139583
4,5 2 3 4 1,566.440557788039,679.728669345647
5,1 2 3 5 4,567.640990582052,681.169188698463
6,1 3 2 4 5,567.641026427608,681.169231713129
7,2 1 4 3 5,571.740990949644,686.089189139573
8,5 1 3 4 2,571.840557788037,686.208669345645
9,5 2 4 3 1,572.340523875142,686.808628650171
10,2 5 3 4 1,572.641018200194,687.169221840233
11,1 5 3 4 2,572.641018200201,687.169221840241
12,2 1 3 5 4,573.040990582044,687.649188698452
13,2 3 1 4 5,573.041026427595,687.649231713114
14,1 2 4 5 3,573.540970595824,688.249164714989
15,1 4 2 3 5,573.540988412066,688.249186094479
16,5 2 3 1 4,573.640529955407,688.368635946489
17,5 3 2 4 1,573.640559353098,688.368671223717
18,3 2 1 4 5,574.040553679831,688.848664415797
19,3 1 2 4 5,574.040553679835,688.848664415802
20,1 4 3 2 5,574.141468414412,688.969762097295
21,1 3 4 2 5,574.141472517058,688.969767020469
22,1 2 5 3 4,574.240512744069,689.088615292883
23,1 2 5 4 3,574.240526670738,689.088632004885
24,4 2 3 5 1,574.840925740517,689.80911088862
25,4 2 3 1 5,574.840932188382,689.809118626058
26,1 3 2 5 4,574.84099214711,689.809190576533
27,5 2 1 3 4,575.83958523081,691.007502276972
28,5 1 2 3 4,575.839585230814,691.007502276976
29,5 2 1 4 3,575.839599157479,691.007518988974
30,5 1 2 4 3,575.839599157482,691.007518988979
31,5 1 3 2 4,576.44006523316,691.728078279792
32,1 5 2 3 4,576.640045642977,691.968054771573
33,1 5 2 4 3,576.640059569646,691.968071483575
34,2 4 3 5 1,576.741926688785,692.090312026542
35,1 4 3 5 2,576.741926688792,692.09031202655
36,2 3 4 5 1,576.741930791431,692.090316949717
37,1 3 4 5 2,576.741930791437,692.090316949725
38,2 4 3 1 5,576.74193313665,692.090319763981
